id,name,slug,downloads,link
959743,Rebel-Tactics,rebel-tactics,679,https://www.curseforge.com/minecraft/modpacks/rebel-tactics
1198545,The Ultimate Goomer 'la Goober Pack | Now with added Goober!,the-goomer-pa,257,https://www.curseforge.com/minecraft/modpacks/the-goomer-pa
1386955,Sinborn Odyssey,sinborn-odyssey,154,https://www.curseforge.com/minecraft/modpacks/sinborn-odyssey
1366535,"Factory in space, a Create expedition",factory-in-space,560,https://www.curseforge.com/minecraft/modpacks/factory-in-space
1387060,Amblewood,amblewood,101,https://www.curseforge.com/minecraft/modpacks/amblewood
1265172,MustardCraft Server,mustardcraft-modpack,969,https://www.curseforge.com/minecraft/modpacks/mustardcraft-modpack
1392089,With The Boyzz - WTB,wtb,3,https://www.curseforge.com/minecraft/modpacks/wtb
848412,BozoSMP,bozosmp-modpack,3000,https://www.curseforge.com/minecraft/modpacks/bozosmp-modpack
1223235,Omni-Forged,omni-forged,707,https://www.curseforge.com/minecraft/modpacks/omni-forged
1391395,create fitted,create-fitted,28,https://www.curseforge.com/minecraft/modpacks/create-fitted
1369932,Gordos Smp,gordos-smp,122,https://www.curseforge.com/minecraft/modpacks/gordos-smp
1072076,CreateKraft,createkraft,206,https://www.curseforge.com/minecraft/modpacks/createkraft
360777,Broken Crayons,broken-crayons,1174,https://www.curseforge.com/minecraft/modpacks/broken-crayons
1223416,The Greater Craft Project,tgcp,580,https://www.curseforge.com/minecraft/modpacks/tgcp
1385540,Fracture Corp. Future In Our Hands,fracture-corp-future-in-our-hands,141,https://www.curseforge.com/minecraft/modpacks/fracture-corp-future-in-our-hands
1389333,GyepMester,gyepmester,32,https://www.curseforge.com/minecraft/modpacks/gyepmester
1346298,Createmon VirtuCraft,createmon-virtucraft,193,https://www.curseforge.com/minecraft/modpacks/createmon-virtucraft
1391827,Die Doerr Chroniken,die-doerr-chroniken,2,https://www.curseforge.com/minecraft/modpacks/die-doerr-chroniken
1316780,UMMM,ummm,285,https://www.curseforge.com/minecraft/modpacks/ummm
1286966,NEW FRONT SEASON1,new-front-season1,367,https://www.curseforge.com/minecraft/modpacks/new-front-season1
1387319,Industrial Create Revolution,industrial-create-revolution,127,https://www.curseforge.com/minecraft/modpacks/industrial-create-revolution
1391578,Dimension Hunters (XP's Version),dimension-hunter-xps-version,5,https://www.curseforge.com/minecraft/modpacks/dimension-hunter-xps-version
1391577,Patricks Playhouse,patricks-play-house,5,https://www.curseforge.com/minecraft/modpacks/patricks-play-house
1391569,Dimension Hunters,dimension-hunter,5,https://www.curseforge.com/minecraft/modpacks/dimension-hunter
1349584,TURKEY SANDWICH CRAFT,turkey-sandwich-craft,319,https://www.curseforge.com/minecraft/modpacks/turkey-sandwich-craft
848945,Slangermon,slangermon,243,https://www.curseforge.com/minecraft/modpacks/slangermon
1347074,Post Mined Craft,post-mined-craft,243,https://www.curseforge.com/minecraft/modpacks/post-mined-craft
1290905,create add plus,create-add-plus,238,https://www.curseforge.com/minecraft/modpacks/create-add-plus
1385548,Zentik Create,zentik-create,75,https://www.curseforge.com/minecraft/modpacks/zentik-create
1375428,Industrial Worlds,industrial-worlds,325,https://www.curseforge.com/minecraft/modpacks/industrial-worlds
1277331,JFF - Official,jff-official,495,https://www.curseforge.com/minecraft/modpacks/jff-official
1384607,Spellcycle,spellcycle,131,https://www.curseforge.com/minecraft/modpacks/spellcycle
1387755,Porco SMP,porco-smp,48,https://www.curseforge.com/minecraft/modpacks/porco-smp
1385704,Kumo O Tagayasu,kumo-o-tagayasu,9,https://www.curseforge.com/minecraft/modpacks/kumo-o-tagayasu
1382461,AgroKrach Create World,agrokrach-create-world,115,https://www.curseforge.com/minecraft/modpacks/agrokrach-create-world
1374807,Critically Failures Official,critically-failures-official,89,https://www.curseforge.com/minecraft/modpacks/critically-failures-official
956527,steam create,steam-create,591,https://www.curseforge.com/minecraft/modpacks/steam-create
1356661,MuseMaker,musemaker,180,https://www.curseforge.com/minecraft/modpacks/musemaker
1387108,The Eventually Rationalized Machine,the-eventually-rationalized-machine,53,https://www.curseforge.com/minecraft/modpacks/the-eventually-rationalized-machine
1060564,World Of Dust,world-of-dust,870,https://www.curseforge.com/minecraft/modpacks/world-of-dust
1389319,GomaCraft-II,gomacraft-ii,57,https://www.curseforge.com/minecraft/modpacks/gomacraft-ii
1384305,Industrial Mons,industrial-mons,52,https://www.curseforge.com/minecraft/modpacks/industrial-mons
1389071,Rune_Bound,runeboundmc,25,https://www.curseforge.com/minecraft/modpacks/runeboundmc
1380715,KelpCo Horizons,kelpco-horizons,99,https://www.curseforge.com/minecraft/modpacks/kelpco-horizons
1287620,Create: Industrialized Tech,create-industrialized-tech,3414,https://www.curseforge.com/minecraft/modpacks/create-industrialized-tech
1390452,Create from auwifa,create-from-auwifa,5,https://www.curseforge.com/minecraft/modpacks/create-from-auwifa
1273070,Fr3shpack - TooManyMods,fr3shpack-toomanymods,1431,https://www.curseforge.com/minecraft/modpacks/fr3shpack-toomanymods
1042387,Create: Delicious Exploration,create-delicious-exploration,4057,https://www.curseforge.com/minecraft/modpacks/create-delicious-exploration
1379781,stepiland experience,stepiland,108,https://www.curseforge.com/minecraft/modpacks/stepiland
1343826,CRAFTING FRIENDS,crafting-friends,63,https://www.curseforge.com/minecraft/modpacks/crafting-friends
1236792,Trial of Soul-Nightmare,nightmare-trial,282,https://www.curseforge.com/minecraft/modpacks/nightmare-trial
1388712,ERMOS,ermos,28,https://www.curseforge.com/minecraft/modpacks/ermos
1200603,Minecraft Z Edition,zedition,755,https://www.curseforge.com/minecraft/modpacks/zedition
1248408,The-Hatchery,the-hatchery,373,https://www.curseforge.com/minecraft/modpacks/the-hatchery
1371807,uppercraft,uppercrast,86,https://www.curseforge.com/minecraft/modpacks/uppercrast
1326954,Create: Something About Trains,create-something-about-trains,78,https://www.curseforge.com/minecraft/modpacks/create-something-about-trains
1389891,ZLIFE Warfare,zlife-warfare,5,https://www.curseforge.com/minecraft/modpacks/zlife-warfare
1237596,Create & Dinos,create-dinos,1816,https://www.curseforge.com/minecraft/modpacks/create-dinos
1264339,Factorio: Nuclear (OxMODPACK),factorio-nuclear,7789,https://www.curseforge.com/minecraft/modpacks/factorio-nuclear
615863,Lionheart Laboratories,lionheart-laboratories,8201,https://www.curseforge.com/minecraft/modpacks/lionheart-laboratories
1374902,Gear Forge,gear-forge,106,https://www.curseforge.com/minecraft/modpacks/gear-forge
1141152,Blighted Dreams,blighteddreams,761,https://www.curseforge.com/minecraft/modpacks/blighteddreams
1334909,Shun's Create,shuns-create,1577,https://www.curseforge.com/minecraft/modpacks/shuns-create
1386327,Create Definitive Experience,create-definitive-experience,88,https://www.curseforge.com/minecraft/modpacks/create-definitive-experience
1223874,Beyond Cosmo,beyond-cosmo,304276,https://www.curseforge.com/minecraft/modpacks/beyond-cosmo
1375289,StarbaseSMP - Apocalypse,starbasesmp-apocalypse,247,https://www.curseforge.com/minecraft/modpacks/starbasesmp-apocalypse
1329018,Create: Endüstri Smp,create-endustri-smp,416,https://www.curseforge.com/minecraft/modpacks/create-endustri-smp
1376314,Create & Cobblemon,create-cobblemons,220,https://www.curseforge.com/minecraft/modpacks/create-cobblemons
1388898,Mitchplay SMP: Season 0 [ReTake],mitchplay-smp-season-0-retake,7,https://www.curseforge.com/minecraft/modpacks/mitchplay-smp-season-0-retake
1388292,the funky fresh autism pack,the-funky-fresh-autism-pack,12,https://www.curseforge.com/minecraft/modpacks/the-funky-fresh-autism-pack
1381985,SubnautiCreate,subnauticreate,87,https://www.curseforge.com/minecraft/modpacks/subnauticreate
1145291,Termincraft 2,termincraft-modpack,3777,https://www.curseforge.com/minecraft/modpacks/termincraft-modpack
1131409,Create: Stranded at Sea,create-stranded-at-sea,123970,https://www.curseforge.com/minecraft/modpacks/create-stranded-at-sea
1388623,serwer za hajssss,serwer-za-hajssss,6,https://www.curseforge.com/minecraft/modpacks/serwer-za-hajssss
1154150,Create - Technomancy,create-technomancer,242,https://www.curseforge.com/minecraft/modpacks/create-technomancer
1289204,Create The Ultimate warfare,create-the-ultimate-warfare,3831,https://www.curseforge.com/minecraft/modpacks/create-the-ultimate-warfare
1231324,Neodium,neodium,1423,https://www.curseforge.com/minecraft/modpacks/neodium
1296905,Baufhmin's Colonies & Create,baufhmins-colonies-create,67,https://www.curseforge.com/minecraft/modpacks/baufhmins-colonies-create
1362422,Chaos & Curiosity,chaos-curiosity,179,https://www.curseforge.com/minecraft/modpacks/chaos-curiosity
365228,Delta's Mod Pack 12,deltas-mod-pack,446,https://www.curseforge.com/minecraft/modpacks/deltas-mod-pack
1368548,Potato MagiTech,modpack-potato,374,https://www.curseforge.com/minecraft/modpacks/modpack-potato
373084,"Magic, Cogs, and Demons",magic-cogs-demons,882,https://www.curseforge.com/minecraft/modpacks/magic-cogs-demons
1070660,YeSMP,yesmp,757,https://www.curseforge.com/minecraft/modpacks/yesmp
1351407,Deluxes SMP,deluxes-smp,642,https://www.curseforge.com/minecraft/modpacks/deluxes-smp
1362241,AccursedSMP,accursedsmp,506,https://www.curseforge.com/minecraft/modpacks/accursedsmp
1185682,Teachings of Zeta,teachings-of-zeta,304,https://www.curseforge.com/minecraft/modpacks/teachings-of-zeta
1372429,Temporal  Engineers,temporal-engineers,18,https://www.curseforge.com/minecraft/modpacks/temporal-engineers
1387261,INDUSTRIAL ISLAND,industrial-island,4,https://www.curseforge.com/minecraft/modpacks/industrial-island
1373005,Lima SMP,lima-smp,257,https://www.curseforge.com/minecraft/modpacks/lima-smp
1380427,Industrial Dawn,industrial-dawn,213,https://www.curseforge.com/minecraft/modpacks/industrial-dawn
1270452,ArdentCraft: Create,ardentcraft-create,577,https://www.curseforge.com/minecraft/modpacks/ardentcraft-create
1371077,A storm and an airship,astormandanairship,96,https://www.curseforge.com/minecraft/modpacks/astormandanairship
1372621,Nouveau Monde,nouveau-monde,249,https://www.curseforge.com/minecraft/modpacks/nouveau-monde
1383536,CIVILIZED - A New Era,civilized-a-new-era,78,https://www.curseforge.com/minecraft/modpacks/civilized-a-new-era
1384827,Create - Means of Production,create-means-of-production,32,https://www.curseforge.com/minecraft/modpacks/create-means-of-production
1341632,O_-_O,o---o,66,https://www.curseforge.com/minecraft/modpacks/o---o
1384615,Insanos,insanos,6,https://www.curseforge.com/minecraft/modpacks/insanos
1343057,Linggango,linggango,485310,https://www.curseforge.com/minecraft/modpacks/linggango
1377234,jaaj,jaaaj,486,https://www.curseforge.com/minecraft/modpacks/jaaaj
977616,MineLabs Network,minelabs-network-forge,855,https://www.curseforge.com/minecraft/modpacks/minelabs-network-forge
1339713,DudeSMP,dudesmp,531,https://www.curseforge.com/minecraft/modpacks/dudesmp
1384250,Techno-magic War,techno-magic-war,9,https://www.curseforge.com/minecraft/modpacks/techno-magic-war
1373703,Machines and Mythology,machines-and-mythology,303,https://www.curseforge.com/minecraft/modpacks/machines-and-mythology
1069975,ServerC Official (LMC),serverc-official-lmc,112,https://www.curseforge.com/minecraft/modpacks/serverc-official-lmc
1335410,team pkb pack,team-pkb-pack,190,https://www.curseforge.com/minecraft/modpacks/team-pkb-pack
1365916,RarYTerr. The bad days,raryterr,548,https://www.curseforge.com/minecraft/modpacks/raryterr
1320844,The End of the Universe,the-end-of-the-universe,110,https://www.curseforge.com/minecraft/modpacks/the-end-of-the-universe
880762,Harcore 3 lives!,minecraft-hardcore-3-lives,1152,https://www.curseforge.com/minecraft/modpacks/minecraft-hardcore-3-lives
1365672,MGNcraft Server Pack,mgncraft-server-pack,185,https://www.curseforge.com/minecraft/modpacks/mgncraft-server-pack
1371802,Good Bones,good-bones,69,https://www.curseforge.com/minecraft/modpacks/good-bones
1110791,Era of the Wyrm,grandexpanse,1431,https://www.curseforge.com/minecraft/modpacks/grandexpanse
1377291,create consequences,create-earth-server,227,https://www.curseforge.com/minecraft/modpacks/create-earth-server
1376597,To Prepare for War,to-prepare-for-war,105,https://www.curseforge.com/minecraft/modpacks/to-prepare-for-war
1168748,StrikeCraft Reloaded,strikecraft,3111,https://www.curseforge.com/minecraft/modpacks/strikecraft
1248822,Blockbusters,blockbusters,2265,https://www.curseforge.com/minecraft/modpacks/blockbusters
1381860,Momocraft V2,momocraft-v2,74,https://www.curseforge.com/minecraft/modpacks/momocraft-v2
933923,Infernape Craft,infernape-craft,297,https://www.curseforge.com/minecraft/modpacks/infernape-craft
1228925,Create What's Cooking,create-whats-cooking,32,https://www.curseforge.com/minecraft/modpacks/create-whats-cooking
1365977, Ecliptic End,minecraft-ecliptic-end,214,https://www.curseforge.com/minecraft/modpacks/minecraft-ecliptic-end
1381882,Create La Fabrica,create-la-fabrica,15,https://www.curseforge.com/minecraft/modpacks/create-la-fabrica
1234395,Godpack Stable,godpack-stable,199,https://www.curseforge.com/minecraft/modpacks/godpack-stable
1374770,Dead of the Overworld,dead-of-the-overworld,117,https://www.curseforge.com/minecraft/modpacks/dead-of-the-overworld
1377276,Forgotten Lands [UNITT],forgotten-lands-unitt,40,https://www.curseforge.com/minecraft/modpacks/forgotten-lands-unitt
1371391,Valley of Creativity,valley-of-creativity,70,https://www.curseforge.com/minecraft/modpacks/valley-of-creativity
1193856,DolphinSoup,dolphinsoup-fabric,263,https://www.curseforge.com/minecraft/modpacks/dolphinsoup-fabric
1305848,LuxeCraft SMP,luxecraft-smp,988,https://www.curseforge.com/minecraft/modpacks/luxecraft-smp
1370604,Snipe's War Fun,snipes-war-fun,143,https://www.curseforge.com/minecraft/modpacks/snipes-war-fun
1218239,Full Create 6.0.7+ & Horror,full-create-6-0-7-and-horror,2349,https://www.curseforge.com/minecraft/modpacks/full-create-6-0-7-and-horror
1265041,Artemiscraft: Iron Conflict,artemiscraft-iron-conflict,546,https://www.curseforge.com/minecraft/modpacks/artemiscraft-iron-conflict
1366951,Stellara: The New World,stellarathenewworld,101,https://www.curseforge.com/minecraft/modpacks/stellarathenewworld
1364519,NuttyPack,nuttypack,128,https://www.curseforge.com/minecraft/modpacks/nuttypack
1374481,Pix's Tech Pack,pixs-tech-pack,87,https://www.curseforge.com/minecraft/modpacks/pixs-tech-pack
1357494,Clash of Ages,clash-of-ages,381,https://www.curseforge.com/minecraft/modpacks/clash-of-ages
1373603,Radium SMP,radium-smp,88,https://www.curseforge.com/minecraft/modpacks/radium-smp
1262533,Voltz (Volts) Reimagined - Official Server,voltz-reimagined-official-server,1550,https://www.curseforge.com/minecraft/modpacks/voltz-reimagined-official-server
1371396,CreateCraft by Flamming90,createcraft-by-flamming90,160,https://www.curseforge.com/minecraft/modpacks/createcraft-by-flamming90
1359420,Kokscraft,kokscraft,264,https://www.curseforge.com/minecraft/modpacks/kokscraft
1123926,The Createverse,the-createverse,2661,https://www.curseforge.com/minecraft/modpacks/the-createverse
1373653,Nitwit's Collection,nitwits-collection,68,https://www.curseforge.com/minecraft/modpacks/nitwits-collection
1377942,Gearshift,gearshift,7,https://www.curseforge.com/minecraft/modpacks/gearshift
906732,KronCraft,kroncraft,340,https://www.curseforge.com/minecraft/modpacks/kroncraft
1365997,Everything Everywhere All At Once But Better,everything-everywhere-all-at-once-but-better,197,https://www.curseforge.com/minecraft/modpacks/everything-everywhere-all-at-once-but-better
1377252,Pope's Post-Apocalypse,popes-post-apocalypse,8,https://www.curseforge.com/minecraft/modpacks/popes-post-apocalypse
915049,Celerity X,celerity-x,1798,https://www.curseforge.com/minecraft/modpacks/celerity-x
1373171,Spinning Gears,spinning-gears,54,https://www.curseforge.com/minecraft/modpacks/spinning-gears
1376828,Zombie AND Heros,zombie-and-heros,20,https://www.curseforge.com/minecraft/modpacks/zombie-and-heros
1350543,The Reign of Kings New World,the-reign-of-kings-new-world,183,https://www.curseforge.com/minecraft/modpacks/the-reign-of-kings-new-world
1364098,Batom e Cafe,batom-e-cafe,133,https://www.curseforge.com/minecraft/modpacks/batom-e-cafe
1361816,Create Bigger War,create-bigger-war,86,https://www.curseforge.com/minecraft/modpacks/create-bigger-war
975379,Expeditionary Realms,expeditionary-realms,1145,https://www.curseforge.com/minecraft/modpacks/expeditionary-realms
961788,Backstübchen's Dream,backstubchens-dream,1239,https://www.curseforge.com/minecraft/modpacks/backstubchens-dream
1366735,FOREVER ADVENTURING,forever-adventuring,172,https://www.curseforge.com/minecraft/modpacks/forever-adventuring
1374866,UltimateCraft-survival ,ultimatecraft-survival,46,https://www.curseforge.com/minecraft/modpacks/ultimatecraft-survival
1372059,Create More Magic,create-more-magic,26,https://www.curseforge.com/minecraft/modpacks/create-more-magic
1375414,Forgotten Vibes,forgotten-vibes,19,https://www.curseforge.com/minecraft/modpacks/forgotten-vibes
1372034,Bameninghong Survival,bameninghong-survival,35,https://www.curseforge.com/minecraft/modpacks/bameninghong-survival
1297303,OFF: All Of Era,off-all-of-era,1811,https://www.curseforge.com/minecraft/modpacks/off-all-of-era
1371015,Full mods create (almost),full-mods-create-almost,24,https://www.curseforge.com/minecraft/modpacks/full-mods-create-almost
561589,Tough As Cookies,toughascookies,274,https://www.curseforge.com/minecraft/modpacks/toughascookies
1374996,noprexlon,noprexlon,10,https://www.curseforge.com/minecraft/modpacks/noprexlon
1211788,Create SixPack,create-sixpack,62,https://www.curseforge.com/minecraft/modpacks/create-sixpack
1373553,super desertstorm 2025,superdesertstorm2025,6,https://www.curseforge.com/minecraft/modpacks/superdesertstorm2025
1350284,Creative TFC,creative-tfc,272,https://www.curseforge.com/minecraft/modpacks/creative-tfc
1370418,Colonial Factories,createn-colonies,43,https://www.curseforge.com/minecraft/modpacks/createn-colonies
1335320,InfinityMidCraft,infinitymidcraft,434,https://www.curseforge.com/minecraft/modpacks/infinitymidcraft
